competitionId,gameId,homeId,awayId,teamId1,teamId2,teamId,periodIdx,clock,awayLineupId,homeLineupId,actionType,subType,qualifiers,success,x,y,side,score1,score2,clock_seconds,game_clock_seconds,_match_period,frame_id
33533,2187675,104448,103384,104448,103384,103384,1,01:49:00,1608569;1895742;985798;1687571;1895740;,1605200;1912261;950230;1698334;1698336;,2pt,drivinglayup,pointsinthepaint,True,89.0,54.0,RIGHT,39,34,109.0,109.0,1,258
33533,2187675,104448,103384,104448,103384,104448,1,02:13:00,1608569;1895742;985798;1687571;1895740;,1605200;1912261;950230;1698334;1698336;,3pt,jumpshot,,True,6.0,5.0,LEFT,39,32,133.0,133.0,1,258
33533,2187675,104448,103384,104448,103384,104448,1,02:13:00,1608569;1895742;985798;1687571;1895740;,1605200;1912261;950230;1698334;1698336;,assist,,,True,0.0,0.0,LEFT,39,32,133.0,133.0,1,258
33533,2187675,104448,103384,104448,103384,104448,1,02:19:00,1608569;1895742;985798;1687571;1895740;,1605200;1912261;950230;1698334;1698336;,rebound,defensive,,True,0.0,0.0,LEFT,36,32,139.0,139.0,1,258
33533,2187675,104448,103384,104448,103384,103384,1,02:24:00,1608569;1895742;985798;1687571;1895740;,1605200;1912261;950230;1698334;1698336;,2pt,jumpshot,pointsinthepaint,False,82.0,55.0,RIGHT,36,32,144.0,144.0,1,258
33533,2187675,104448,103384,104448,103384,104448,1,02:48:00,1608569;1895742;985798;1687571;1895740;,1605200;1912261;950230;1698334;1698336;,assist,,,True,0.0,0.0,LEFT,36,32,168.0,168.0,1,258
33533,2187675,104448,103384,104448,103384,104448,1,02:48:00,1608569;1895742;985798;1687571;1895740;,1605200;1912261;950230;1698334;1698336;,2pt,turnaroundjumpshot,fromturnover,True,23.0,62.0,LEFT,36,32,168.0,168.0,1,258
33533,2187675,104448,103384,104448,103384,103384,1,03:00:00,1608569;1895742;985798;1687571;,1605200;1912261;950230;1698334;1698336;,substitution,in,,True,0.0,0.0,RIGHT,34,32,180.0,180.0,1,258
33533,2187675,104448,103384,104448,103384,104448,1,03:00:00,1608569;982236;1895742;985798;1687571;,1311667;1605200;1912261;950230;1698334;,foulon,,,True,0.0,0.0,LEFT,34,32,180.0,180.0,1,258
33533,2187675,104448,103384,104448,103384,103384,1,03:00:00,1608569;982236;1895742;985798;1687571;,1605200;1912261;950230;1698334;1698336;,substitution,out,,True,0.0,0.0,RIGHT,34,32,180.0,180.0,1,258
33533,2187675,104448,103384,104448,103384,104448,1,03:00:00,1608569;982236;1895742;985798;1687571;,1605200;1912261;950230;1698334;,substitution,in,,True,0.0,0.0,LEFT,34,32,180.0,180.0,1,258
33533,2187675,104448,103384,104448,103384,103384,1,03:00:00,1608569;982236;1895742;985798;1687571;,1311667;1605200;1912261;950230;1698334;,foul,offensive,,True,9.0,50.0,RIGHT,34,32,180.0,180.0,1,258
33533,2187675,104448,103384,104448,103384,104448,1,03:00:00,1608569;982236;1895742;985798;1687571;,1311667;1605200;1912261;950230;1698334;,substitution,out,,True,0.0,0.0,LEFT,34,32,180.0,180.0,1,258
33533,2187675,104448,103384,104448,103384,103384,1,03:00:00,1608569;982236;1895742;985798;1687571;,1311667;1605200;1912261;950230;1698334;,turnover,offensive,,True,0.0,0.0,RIGHT,34,32,180.0,180.0,1,258
33533,2187675,104448,103384,104448,103384,104448,1,03:12:00,1608569;982236;1895742;985798;1687571;,1311667;1605200;1912261;950230;1698334;,2pt,drivinglayup,pointsinthepaint;fastbreak,True,9.0,50.0,LEFT,34,32,192.0,192.0,1,258
33533,2187675,104448,103384,104448,103384,103384,1,03:18:00,1608569;982236;1895742;985798;1687571;,1311667;1605200;1912261;950230;1698334;,2pt,drivinglayup,pointsinthepaint,True,85.0,44.0,RIGHT,32,32,198.0,198.0,1,258
33533,2187675,104448,103384,104448,103384,103384,1,03:28:00,1608569;982236;1895742;985798;1687571;,1311667;1605200;1912261;950230;1698334;,rebound,defensive,,True,0.0,0.0,RIGHT,32,30,208.0,208.0,1,258
33533,2187675,104448,103384,104448,103384,104448,1,03:32:00,1608569;982236;1895742;985798;1687571;,1311667;1605200;1912261;950230;1698334;,2pt,jumpshot,pointsinthepaint,False,20.0,40.0,LEFT,32,30,212.0,212.0,1,258
33533,2187675,104448,103384,104448,103384,104448,1,03:47:00,1608569;982236;1895742;985798;1687571;,1311667;1605200;1912261;950230;1698334;,rebound,defensive,,True,0.0,0.0,LEFT,32,30,227.0,227.0,1,258
33533,2187675,104448,103384,104448,103384,103384,1,03:50:00,1608569;982236;1895742;985798;1687571;,1311667;1605200;1912261;950230;1698334;,3pt,jumpshot,fromturnover,False,71.0,78.0,RIGHT,32,30,230.0,230.0,1,258
33533,2187675,104448,103384,104448,103384,104448,1,03:55:00,1608569;982236;1895742;985798;1687571;,1311667;1605200;1912261;950230;1698334;,turnover,badpass,,True,20.0,24.0,LEFT,32,30,235.0,235.0,1,258
33533,2187675,104448,103384,104448,103384,103384,1,03:55:00,1608569;982236;1895742;985798;1687571;,1311667;1605200;1912261;950230;1698334;,steal,,,True,0.0,0.0,RIGHT,32,30,235.0,235.0,1,258
33533,2187675,104448,103384,104448,103384,103384,1,04:16:00,1608569;982236;1895742;985798;1687571;,1311667;1605200;1912261;950230;1698334;,2pt,layup,pointsinthepaint,True,90.0,52.0,RIGHT,32,30,256.0,256.0,1,258
33533,2187675,104448,103384,104448,103384,103384,1,04:16:00,1608569;982236;1895742;985798;1687571;,1311667;1605200;1912261;950230;1698334;,assist,,,True,0.0,0.0,RIGHT,32,30,256.0,256.0,1,258
33533,2187675,104448,103384,104448,103384,103384,1,04:29:00,1608569;982236;1895742;985798;1687571;,1311667;1605200;1912261;950230;1698334;,timeout,short,,True,0.0,0.0,RIGHT,32,28,269.0,269.0,1,258
33533,2187675,104448,103384,104448,103384,104448,1,04:32:00,1608569;982236;1895742;985798;1687571;,1311667;1605200;1912261;950230;1698334;,assist,,,True,0.0,0.0,LEFT,32,28,272.0,272.0,1,258
33533,2187675,104448,103384,104448,103384,104448,1,04:32:00,1608569;982236;1895742;985798;1687571;,1311667;1605200;1912261;950230;1698334;,2pt,dunk,pointsinthepaint,True,6.0,51.0,LEFT,32,28,272.0,272.0,1,258
33533,2187675,104448,103384,104448,103384,104448,1,04:45:00,1608569;982236;1895742;985798;1687571;,1311667;1605200;1912261;950230;1698334;,rebound,defensive,,True,0.0,0.0,LEFT,30,28,285.0,285.0,1,258
33533,2187675,104448,103384,104448,103384,103384,1,04:48:00,1608569;982236;1895742;985798;1687571;,1311667;1605200;1912261;950230;1698334;,3pt,jumpshot,,False,66.0,53.0,RIGHT,30,28,288.0,288.0,1,258
33533,2187675,104448,103384,104448,103384,104448,1,05:08:00,1608569;982236;1895742;985798;1687571;,1311667;1605200;1912261;950230;1698334;,foulon,,,True,0.0,0.0,LEFT,29,28,308.0,308.0,1,258
33533,2187675,104448,103384,104448,103384,104448,1,05:08:00,1608569;982236;1895742;985798;1687571;,1311667;1605200;1912261;950230;1698334;,freethrow,1of2,2ndchance,True,0.0,0.0,LEFT,30,28,308.0,308.0,1,258
33533,2187675,104448,103384,104448,103384,104448,1,05:08:00,1608569;982236;1895742;985798;1687571;,1311667;1605200;1912261;950230;1698334;,freethrow,2of2,2ndchance,False,0.0,0.0,LEFT,30,28,308.0,308.0,1,258
33533,2187675,104448,103384,104448,103384,103384,1,05:08:00,1608569;982236;1895742;985798;1687571;,1311667;1605200;1912261;950230;1698334;,rebound,defensive,,True,0.0,0.0,RIGHT,30,28,308.0,308.0,1,258
33533,2187675,104448,103384,104448,103384,104448,1,05:08:00,1608569;982236;1895742;985798;1687571;,1311667;1605200;1912261;950230;1698334;,rebound,offensive,,True,0.0,0.0,LEFT,29,28,308.0,308.0,1,258
